"key","message","comment","context"
"AND","且",,"resources/views/Node.xml:18"
"Account","账户",,"resources/domains/Workflow.xml:71"
"Action","操作",,"resources/domains/Workflow.xml:61"
"Active","活动",,"resources/domains/Workflow.xml:10"
"Activities","活动",,"resources/views/Menu.xml:45
resources/views/Menu.xml:47
resources/views/Node.xml:88"
"Activity","活动",,"resources/views/Node.xml:93"
"BPMN","BPMN",,"resources/domains/Workflow.xml:17
resources/views/Workflow.xml:36"
"Condition","条件",,"resources/domains/Workflow.xml:12
resources/domains/Workflow.xml:52"
"Configurations","配置",,"resources/views/Menu.xml:26"
"Counter","计数器",,"resources/domains/Workflow.xml:34
resources/views/Instance.xml:33
resources/views/Instance.xml:58"
"Counters","计数器",,"resources/domains/Workflow.xml:28
resources/views/Instance.xml:53"
"Description","描述",,"resources/domains/Workflow.xml:16
resources/domains/Workflow.xml:47
resources/domains/Workflow.xml:60
resources/views/Workflow.xml:112
resources/views/Workflow.xml:33
resources/views/Workflow.xml:66
resources/views/Workflow.xml:89"
"Details","明细",,"resources/views/Instance.xml:24"
"Diagram","图表",,"resources/views/Instance.xml:21"
"Editor","编辑器",,"resources/views/Workflow.xml:18"
"End event","结束事件",,"resources/views/Node.xml:10
resources/views/Node.xml:78"
"End events","结束事件",,"resources/views/Menu.xml:53
resources/views/Menu.xml:55
resources/views/Node.xml:74"
"End transitions","结束转换",,"resources/domains/Workflow.xml:63"
"Exclusive gateway","排他网关",,"resources/views/Node.xml:124"
"Exclusive gateways","排他网关",,"resources/views/Menu.xml:101
resources/views/Menu.xml:99
resources/views/Node.xml:120"
"Executed transitions","执行转换",,"resources/domains/Workflow.xml:26"
"Gateway","网关",,"resources/views/Node.xml:11"
"Gateways","网关",,"resources/views/Menu.xml:80"
"Histories","历史",,"resources/domains/Workflow.xml:27
resources/views/Instance.xml:39"
"History","历史",,"resources/views/Instance.xml:28
resources/views/Instance.xml:45"
"Import","导入",,"resources/views/Workflow.xml:20"
"Inclusive gateway","包容网关",,"resources/views/Node.xml:109"
